date,company,city,headline,summary,source_url,image_url,category
2026-01-09,Uber,,CES 2026 showcases robotaxi and autonomous vehicle innovations,Uber announced alliance with Lucid and Nuro leveraging Nvidia Alpamayo platform to deploy production-intent robotaxis,https://www.cbtnews.com/ces-2026-showcases-autonomous-vehicle-innovations/,,partnership
2025-08-07,Zoox,,Zoox receives federal approval to deploy robotaxis,"NHTSA exemption granted for purpose-built robotaxis without steering wheels or brake pedals. Production facility in California with goal of manufacturing up to 10,000 vehicles annually.",https://www.cbtnews.com/zoox-recieves-federal-approval-to-deploy-robotaxis/,,regulation
2026-01-10,MOIA,,"Prof. Amnon Shashua at CES 2026: Robotaxi updates, breakthroughs in AI, and robotics","MOIA aims to deploy over 100,000 self-driving vehicles by 2033 based on Mobileye's self-driving system. Initial U.S. deployments planned for 2026 followed by broader rollouts in Europe using ID. Buzz platform with Volkswagen and Mobileye Drive Level 4 autonomous driving",https://www.mobileye.com/blog/takeaways-from-the-mobileye-press-conference-with-ceo-prof-amnon-shashua-at-ces-2026/,,launch
2026-03-05,MOIA,,Europe’s first industrially produced roboshuttle with Mobileye technology enters pre-series production,Pre-series production of autonomous ID. Buzz with Mobileye technology started at VW Hanover plant. Around 500 vehicles planned for various projects in Europe and USA. Series production scheduled for 2027.,https://moia.io/en/news/europes-first-roboshuttle-with-mobileye-technology-enters-pre-series-production,,technology
2026-03-11,Zoox,,Zoox and Uber announce strategic partnership for Las Vegas robotaxi deployment,"Zoox purpose-built robotaxis will be available on Uber app in Las Vegas starting summer 2026, with LA expansion by mid-2027",https://investor.uber.com/news-events/news/press-release-details/2026/Zoox-and-Uber-Announce-Strategic-Partnership/default.aspx,,partnership
2026-03-13,Motional,Las Vegas,Uber and Motional launch commercial robotaxi service in Las Vegas,"Commercial IONIQ 5 robotaxi service launched on Uber with safety operator; driverless operations targeted by year-end",https://investor.uber.com/news-events/news/press-release-details/2026/Uber-and-Motional-Launch-Robotaxi-Service-in-Las-Vegas/default.aspx,,launch
2026-03-16,NVIDIA,,NVIDIA to launch L4 software-driven robotaxis on Uber across 28 cities by 2028,"Partnership using DRIVE Hyperion platform and Alpamayo AI model; LA and SF deployments starting H1 2027",https://investor.uber.com/news-events/news/press-release-details/2026/NVIDIA-to-Launch-L4-Software-Driven-Robotaxis-on-Uber-Across-28-Cities-by-2028/default.aspx,,partnership
2026-03-19,Rivian,,Uber and Rivian partner to deploy up to 50000 fully autonomous robotaxis,"$1.25B investment through 2031; 10,000-50,000 autonomous R2 robotaxis; SF and Miami initial markets in 2028",https://investor.uber.com/news-events/news/press-release-details/2026/Uber-and-Rivian-Partner-to-Deploy-up-to-50000-Fully-Autonomous-Robotaxis-2026-TViR4R05gi/default.aspx,,partnership
2026-03-23,WeRide,,WeRide reports record FY2025 revenue of RMB 684.6 million up 90% YoY,"Record annual revenue with Slovakia entry as 4th European market; 2000 Robotaxi GXRs with Geely Farizon",https://www.globenewswire.com/news-release/2026/03/23/3260264/0/en/WeRide-Reports-Record-Full-Year-2025-Revenue-of-RMB684-6-Million-Up-90-Year-over-Year.html,,earnings
2026-03-23,XPeng,,XPeng establishes Robotaxi Business Unit targeting driverless L4 operations in 2027,"Formal robotaxi unit created; Amap partnership for booking; three vehicle models planned under 200K CNY; H2 2026 demos",https://cnevpost.com/2026/03/23/xpeng-sets-up-robotaxi-unit-accelerate-commercial-rollout/,,launch
2026-03-24,Zoox,,Zoox expands testing to Phoenix Dallas Austin and Miami with purpose-built robotaxis,"Purpose-built robotaxis begin testing in four new cities; SF area quadrupled; LV doubled; paid rides pending NHTSA approval",https://www.cnbc.com/2026/03/24/amazon-zoox-robotaxi-rides-austin-miami.html,,expansion
2026-03-26,Pony.ai,,Pony.ai reports first quarterly profit with 160% robotaxi revenue growth,"First-ever profit of $75.5M in Q4 2025; fleet at 1446 vehicles; targeting 3000 robotaxis in 20+ cities by year-end",https://www.globenewswire.com/news-release/2026/03/26/3262790/0/en/PONY-AI-Inc-Scales-with-160-Robotaxi-Revenues-Growth-YoY-and-500-Fare-Charging-Revenues-Surge-YoY-in-Q4-Targeting-Deployment-in-20-Cities-by-Year-End.html,,earnings
2026-03-27,Waymo,,Waymo hits 500000 weekly paid rides milestone across 10 US cities,"Tenfold increase from 50K in May 2024; 3067 vehicles; 4M+ autonomous miles weekly; targeting 1M rides/week by year-end",https://eletric-vehicles.com/waymo/waymo-hits-500000-weekly-rides-and-over-4-million-miles-co-ceo-says/,,milestone
2026-03-31,WeRide,Dubai,WeRide and Uber launch fully driverless robotaxi fare-charging operations in Dubai,"First fully driverless commercial robotaxi in Middle East; over 200 vehicles deployed across UAE; Tawasul fleet operator",https://investor.uber.com/news-events/news/press-release-details/2026/WeRide-and-Uber-Launch-Fully-Driverless-Robotaxi-Fare-Charging-Operations-in-Dubai-Accelerating-Autonomous-Mobility-in-the-Middle-East-2026-NSiF0EFKhd/default.aspx,,launch
2026-03-31,Waymo,San Antonio,Waymo starts robotaxi services at San Antonio International Airport,"Fourth airport service added with curbside drop-offs and ride-share pickups",https://techcrunch.com/2026/03/31/waymo-starts-robotaxi-services-at-san-antonio-international-airport/,,expansion
2026-04-01,Apollo Go,Dubai,Apollo Go launches fully driverless commercial ride-hailing in Dubai,"First international Apollo Go app deployment; Dubai Taxi Company partner; 50 vehicles scaling to 1000+; Bolt integration planned",https://www.stocktitan.net/news/BIDU/baidu-s-apollo-go-commences-fully-driverless-commercial-ride-hailing-vb4gpal6kftb.html,,launch
2026-04-01,WeRide,Singapore,WeRide and Grab launch Singapore's first autonomous public ride service in Punggol,"Ai.R autonomous ride service with 11 vehicles; Southeast Asia's first autonomous public ride service",https://www.grab.com/sg/press/others/grab-in-partnership-with-weride-officially-launch-singapores-first-autonomous-public-ride-service-in-punggol/,,launch
2026-04-07,Waymo,Nashville,Waymo launches 11th US city Nashville with Lyft fleet partnership,"60 sq mi initial area covering Broadway and downtown; Flexdrive handles fleet management; Lyft app integration coming later",https://techcrunch.com/2026/04/07/waymo-opens-robotaxi-service-in-nashville-partners-with-lyft/,,launch
2026-04-08,Pony.ai,Zagreb,Pony.ai launches Europe's first commercial robotaxi service in Zagreb with Verne,"BAIC Arcfox Alpha T5 vehicles with 7th-gen system; ~90 km² area; 7am-9pm daily via Verne app; Uber integration planned",https://www.prnewswire.com/news-releases/ponyai-advances-global-deployment-with-launch-of-europes-first-commercial-robotaxi-service-in-zagreb-302736854.html,,launch
2026-04-08,VW ADMT,Los Angeles,VW MOIA America begins autonomous ID. Buzz testing in Los Angeles ahead of Uber launch,"~10 vehicles scaling to 100+; commercial rides on Uber planned late 2026; VW ADMT rebranded to MOIA America",https://techcrunch.com/2026/04/08/volkswagen-moia-uber-los-angeles-testing-self-driving-microbuses-id-buzz/,,testing
2026-04-13,Nuro,San Francisco,Uber and Nuro begin testing premium robotaxi service in San Francisco,"Employee test rides using Lucid Gravity SUVs with Nuro L4 system; public launch planned late 2026",https://techcrunch.com/2026/04/13/uber-nuro-san-francisco-testing-premium-robotaxi-service/,,testing
2026-04-14,Waymo,London,Waymo begins autonomous driving testing in London with 100 vehicle fleet,"Autonomous testing with safety specialists; ~100 Jaguar I-PACE vehicles; 100 sq mi area; Moove fleet partner; commercial launch late 2026",https://techcrunch.com/2026/04/14/london-gets-closer-to-its-first-robotaxi-service-as-waymo-begins-testing/,,testing
2026-04-15,Didi,,Didi announces UAE as first overseas robotaxi market,"Testing planned for later in 2026; UAE becomes three-way battleground with WeRide and Apollo Go",https://www.cnbc.com/2026/04/15/china-robotaxi-didi-weride-baidu-dubai-uae-expansion.html,,expansion
2026-04-15,Waymo,,Waymo opens Miami and Orlando to public with no waitlist and adds highway service,"150K+ riders served since January; Miami highway service on I-95 and Dolphin Expressway; ~100 sq mi Miami coverage",https://waymo.com/blog/2026/04/floridas-new-way-to-ride/,,expansion
2026-04-15,Wayve,,Wayve raises $60M extension from Qualcomm AMD and Arm,"Series D extension brings total to ~$1.5B at $8.6B valuation; London robotaxi via Uber planned for 2026",https://techcrunch.com/2026/04/15/chipmakers-amd-arm-and-qualcomm-are-all-investing-in-this-buzzy-self-driving-tech-startup/,,funding
2026-04-14,Lucid,,Uber and Lucid expand robotaxi partnership to 35000 vehicles with $750M investment,"Uber adds $200M bringing total to $500M; Saudi PIF affiliate Ayar invests $550M; commercial launch in SF Bay Area late 2026",https://ir.lucidmotors.com/news-releases/news-release-details/lucid-group-inc-announces-registered-public-offering-common,,partnership
2026-04-14,Glydways,,Glydways raises $170M Series C for autonomous transit pilots in UAE New York and Atlanta,"Co-led by Suzuki ACS Group and Khosla Ventures; total raised over $250M; Atlanta pilot launches December 2026 with free on-demand service",https://www.globenewswire.com/news-release/2026/04/14/3273722/0/en/Glydways-Raises-Oversubscribed-170M-Series-C-as-First-Autonomous-Vehicle-Networks-Enter-Public-Operation-in-2026.html,,funding
2026-04-15,,,Autonomous vehicle funding tripled in Q1 2026 to record $21.4B across 34 deals,"262% jump from all of 2025; Waymo $16B Series D at $126B valuation; Shield AI $2B Series G; Wayve $1.3B Series D at $8.6B valuation",https://news.crunchbase.com/venture/record-funding-autonomous-vehicles-q1-2026/,,funding
2026-04-17,Vy;Kolumbus,Stavanger,Norway grants first permit for fully driverless autonomous bus operations,"Karsan e-ATAK with ADASTEC software and Applied Autonomy xFlow fleet management; transition from supervised to driverless without safety driver",https://www.sustainable-bus.com/autonomous-driving/stavanger-autonomous-bus-without-safety-driver-approved/,,regulation
2026-04-18,Tesla,Dallas,Tesla launches fully unsupervised robotaxi service in Dallas and Houston,"First Tesla robotaxi launches without safety monitor phase; Dallas ~30-35 sq mi; Houston ~12-15 sq mi; early ride $6.15 for 2.25 miles ~56% cheaper than Waymo",https://techcrunch.com/2026/04/18/tesla-brings-its-robotaxi-service-to-dallas-and-houston/,,launch
2026-04-18,Tesla,,Tesla targets 7 robotaxi cities by June 2026 after Texas expansion,"Austin Dallas Houston now live; Phoenix Miami Orlando Tampa Las Vegas next; Cybercab mass production expected late April",https://tech-insider.org/tesla-robotaxi-dallas-houston-unsupervised-launch-2026/,,expansion
2026-04-20,,,Counterpoint Research forecasts robotaxi market to reach $168B by 2035,"Global fleet to hit 3.6M vehicles by 2035; China leads deployment volume US leads innovation; Waymo Apollo Go Tesla WeRide Pony.ai named top 5",https://www.electronicsweekly.com/news/business/robotaxi-services-2026-04/,,milestone
2026-04-21,Geely,,Geely announces China's first purpose-built native robotaxi prototype Eva Cab,"Built on Geely L4 AI architecture with World Action Model; CaoCao to commercialize; mass production 2027; first directly Geely-developed robotaxi vs converted production models",https://www.globenewswire.com/news-release/2026/04/21/3278272/0/en/China-s-First-Purpose-built-Autonomous-Robotaxi-Prototype-Coming-Soon-CaoCao-s-Deeply-Customized-Version-Scheduled-for-Mass-Production-in-2027.html,,launch
2026-04-22,Tesla,,Tesla Q1 2026 earnings - paid Robotaxi miles nearly doubled sequentially,"Q1 paid Robotaxi miles nearly doubled QoQ; Austin geofence expanded; Dallas and Houston launched unsupervised in April; FSD approved in Netherlands; AI5 inference chip design completed",https://assets-ir.tesla.com/tesla-contents/IR/TSLA-Q1-2026-Update.pdf,,earnings
2026-04-23,WeRide,,WeRide and Lenovo target 200000 autonomous vehicle global rollout over 5 years,"Announced at Auto China 2026; HPC 3.0 platform on NVIDIA DRIVE AGX Thor delivers 2000+ TOPS; 50% lower autonomous suite costs and 84% lower TCO vs previous gen",https://gulfbusiness.com/en/2026/automotive/weride-lenovo-target-200000-autonomous-vehicle-rollout-in-global-push-for-robotaxi-scale/,,partnership
2026-04-24,Geely,,Geely Eva Cab debuts at Auto China 2026 with worlds first 2160-line digital LiDAR,"Face-to-face cabin layout; 25.92M points/sec LiDAR with 600m range; AFARI G-ASD L4 software; CaoCao customized version 2027; targets 100K robotaxis by 2030",https://www.globenewswire.com/news-release/2026/04/24/3280986/0/en/China-s-First-Purpose-Built-Robotaxi-Customized-for-CaoCao-Debuts-at-Auto-China-2026-with-Mass-Production-Planned-for-2027.html,,launch
2026-04-24,MOIA America,Orlando,VW MOIA America and Beep partner to deploy 5000 autonomous ID. Buzz vehicles in US,"10-year deal targeting cities municipalities and transit agencies; validation testing in Lake Nona FL; passenger rides later in 2026; Mobileye self-driving system",https://www.prnewswire.com/news-releases/moia-america-to-expand-into-new-us-markets-through-strategic-partnership-with-beep-starting-in-orlando-302752223.html,,partnership
2026-04-24,Pony.ai,,Pony.ai unveils next-gen NVIDIA DRIVE Hyperion compute platform with 4000 TOPS,"New domain controller with NVIDIA NVLink; targets 20 cities and 3000 vehicles by year-end 2026; 500% Fangzai shipment increase; supports both proprietary and external industrial applications",https://www.autoconnectedcar.com/2026/04/autonomous-self-driving-vehicle-news-tesla-pony-ai-nvidia-moia-beep-innoviz-sima-ai-hesai-karsan-weride-plusai-arbe-zoox/,,launch
2026-04-24,QCraft,,QCraft unveils Physical AI Model and 500+ TOPS QPilot MAX at Auto China 2026,"World Model + Reinforcement Learning architecture; deployed in 25 production models with 50 more expected; vehicles undergoing testing in Munich and Paris",https://www.businesswire.com/news/home/20260424909985/en/QCraft-Unveils-Physical-AI-Model-and-500-TOPS-Intelligent-Driving-Solution-at-Auto-China-2026-in-Beijing,,launch
2026-04-24,Tesla,,Tesla Robotaxi app launches for Android users on Google Play,"Service previously iOS-only; expansion to hundreds of millions of Android users; supports scaling ride volume and FSD data collection",https://www.teslarati.com/tesla-expands-robotaxi-long-anticipated-android/,,expansion